source_excel_row,structure_label,label,Evac,Modification,E_form,E_fermi,E_bg,VBM,CBM,Lix,3OS,3S,3Hdp,3Z,Z_surf,nelect,nelect_no_o,nelect_m_only,wtd_nelect,e_tot,tot_OS,tot_S,tot_Hdp,O_M1,O_M2,O_M3,BL_avg,M1_charge,M2_charge,M3_charge,avg_M_charge,O_charge,sum_qm-qo,total_LCE_charge,Vm,Vo,Vm-o,Eoxm,wtd_Vm,wtd_Vo,M1_chi,M2_chi,M3_chi,sum_chi,avg_chi,M1_bc_full,M1_bc_occ,M1_bc_unocc,M1_band_width,M1_occ_bw,M2_bc_full,M2_bc_occ,M2_bc_unocc,M2_band_width,M2_occ_bw,M3_bc_full,M3_bc_occ,M3_bc_unocc,M3_band_width,M3_occ_bw,O(p)_bc_full,O(p)_bc_occ,O(p)_bc_unocc,O(p)_cbm_diff,O(p)_band_width,O(p)_occ_bw,M1_t2g,M1_eg,M2_t2g,M2_eg,M3_t2g,M3_eg,M1_ion_e,M1_min_pol,M1_pol,M1_max_pol,M2_ion_e,M2_min_pol,M2_pol,M2_max_pol,M3_ion_e,M3_min_pol,M3_pol,M3_max_pol,avg_ion_e,M1_bin_evac,M2_bin_evac,M3_bin_evac,avg_bin_evac,M1_avg_intensity,M2_avg_intensity,M3_avg_intensity,LCE_avg_intensity,avg_val_full,avg_val_occ,avg_val_unocc,avg_band_width,avg_occ_bw,full_bc_diff,occ_bc_diff,M1_std_pot,M2_std_pot,M3_std_pot,avg_std_pot,elec_wtd_bc_occ,elec_wtd_bw_occ,int_wtd_bc_occ,int_wtd_bw_occ
2,Li1.00__P0Co-P1Ni-P2Co-P3Co-P4Co-P5Co__P6Co-P7Co-P8Co,Ni,3.6982645,1-2-3-Ni-Co-Co,-120.4583681,2.70069353,0.2273,2.5904,2.8177,1,6.748545208,0.735814303,1.283721198,82,163,398.000001,182.000001,164.000001,114.8000007,123.5874146,40.41258535,1.635531201,7.778801594,2.109095236,1.967724627,1.940896734,2.005905532,9.265,8.301,8.382,8.649333333,5.006,20.942,30.954,12.93007935,7.496804945,5.433274406,64.72797723,4.31375034,2.493520274,1.53,1.56,1.56,4.65,1.55,-2.15768979,-2.741958237,0.7380656,2.602559928,2.465948935,-1.371318917,-2.293021426,1.189125379,2.913269324,2.882326874,-1.323225126,-2.290305118,1.389822527,3.003194505,2.940100168,-3.398753698,-4.01686309,1.437965615,6.216453698,2.392753578,1.74501878,4.612929134,3.552385874,3.802990675,3.373355873,3.868234112,3.327482167,7.639878,46,49,52,7.88101,51,55,59,7.88101,51,55,59,7.800632667,2.02617786,2.48314856,2.48314856,2.330824993,0.441897753,0.359974157,0.373673258,0.39184839,-1.617411278,-2.441761594,1.105671169,2.839674586,2.762791992,1.78134242,1.575101495,-0.257,-0.28,-0.28,-0.272333333,-2.454820195,2.749944745,-2.460917277,2.744171281
3,Li1.00__P0Co-P1Co-P2Ni-P3Co-P4Co-P5Co__P6Co-P7Co-P8Co,Ni,3.72233095,1-2-3-Co-Ni-Co,-120.5094632,2.68025568,0.1691,2.6034,2.7725,1,6.710100282,0.771519055,1.24372828,82,163,398.0000025,182.0000025,164.0000025,114.8000018,123.9720526,40.02794741,1.647621337,7.423496305,1.948029894,2.113460278,1.948983383,2.003491185,8.354,9.232,8.371,8.652333333,5.005,20.952,30.962,12.95168679,7.505422176,5.446264619,64.82319241,4.31924995,2.496510258,1.56,1.53,1.56,4.65,1.55,-1.372076202,-2.322104627,1.286034002,2.967766175,2.914537028,-2.13994712,-2.717059517,0.693559455,2.579338239,2.451970256,-1.322419661,-2.285843781,1.374654775,2.990183313,2.928015948,-3.420590542,-4.051281107,1.436356097,6.193090542,2.407690498,1.744910024,3.839006317,3.349917928,4.505687499,3.647721817,3.877691239,3.313013923,7.88101,51,55,59,7.639878,46,49,52,7.88101,51,55,59,7.800632667,2.48314856,2.02617786,2.48314856,2.330824993,0.371534157,0.441000449,0.373613708,0.395382772,-1.611480994,-2.441669308,1.118082744,2.845762576,2.764841077,1.809109548,1.609611798,-0.28,-0.257,-0.28,-0.272333333,-2.452576498,2.752444087,-2.457524231,2.746804003
4,Li1.00__P0Co-P1Co-P2Co-P3Ni-P4Co-P5Co__P6Co-P7Co-P8Co,Ni,3.37299,1-2-3-Co-Co-Ni,-120.2957726,2.82160331,0.2649,2.6875,2.9524,1,7.050694071,0.670040899,1.587583907,82,163,398.000002,182.000002,164.000002,114.8000014,122.2043698,41.7956302,1.426363204,9.219306915,1.948560303,1.975163266,2.114534837,2.012752802,8.365,8.309,9.302,8.658666667,4.999,20.977,30.975,12.89873018,7.460527207,5.438202978,64.48075219,4.304070226,2.481441805,1.56,1.56,1.53,4.65,1.55,-1.515325987,-2.46772237,1.159277627,2.979837023,2.925596876,-1.54433395,-2.473592276,1.035388223,2.919761991,2.882462791,-2.27579518,-2.872710501,0.678126617,2.641783464,2.498928954,-3.495216667,-4.100915648,1.251025744,6.447616667,2.380653245,1.762153552,3.849008727,3.34697734,3.778585344,3.396159067,4.637447937,3.530065755,7.88101,51,55,59,7.88101,51,55,59,7.639878,46,49,52,7.800632667,2.48314856,2.48314856,2.02617786,2.330824993,0.370207207,0.365468468,0.455327477,0.397001051,-1.778485039,-2.604675049,0.957597489,2.847127493,2.768996207,1.716731628,1.496240599,-0.28,-0.28,-0.257,-0.272333333,-2.61653989,2.757078943,-2.624352929,2.749243206
5,Li1.00__P0Co-P1Mn-P2Co-P3Co-P4Co-P5Co__P6Co-P7Co-P8Co,Mn,3.60891745,1-2-3-Mn-Co-Co,-124.0608096,3.26643164,0,3.26643164,3.26643164,1,8.1832489,1.895757727,2.320665135,79,160,392.0000006,176.0000006,158.0000006,110.6000004,112.1178791,45.8821209,4.555267042,12.77772037,1.976370671,1.992663253,1.963091628,1.977375184,5.829,8.296,8.369,7.498,5.017,17.477,27.511,11.37579136,7.611890095,3.763901266,57.07234526,3.923107793,2.53718676,1.89,1.56,1.56,5.01,1.67,-1.444214121,-3.791785527,1.016873957,3.368774352,3.229988179,-1.992753715,-2.892501946,0.50420403,2.880050022,2.863503374,-1.984221134,-2.932398602,0.677502937,2.976602573,2.926374618,-4.4748942,-5.25687853,1.073866902,7.74132584,2.639139033,1.691508135,2.763445165,2.02337138,3.793812143,3.371139975,3.847585734,3.340990759,7.434038,59,68,77,7.88101,51,55,59,7.88101,51,55,59,7.732019333,3.28671184,2.48314856,2.48314856,2.751002987,0.336547317,0.348641463,0.365493902,0.350227561,-1.80706299,-3.205562025,0.732860308,3.075142316,3.006622057,2.66783121,2.051316505,-1.185,-0.28,-0.28,-0.581666667,-3.114514753,2.972025967,-3.194432744,3.002763815
6,Li1.00__P0Co-P1Co-P2Mn-P3Co-P4Co-P5Co__P6Co-P7Co-P8Co,Mn,3.79615905,1-2-3-Co-Mn-Co,-124.2030957,3.2338116,0,3.2338116,3.2338116,1,8.803469396,2.173525905,2.68825305,79,160,392.0000007,176.0000007,158.0000007,110.6000005,109.8487412,48.15125885,5.272295397,15.13840153,1.989122265,1.980109326,1.955406101,1.97487923,8.34,5.791,8.361,7.497333333,5.017,17.475,27.509,11.39322825,7.621623945,3.771604303,57.15982612,3.971240659,2.541986644,1.56,1.89,1.56,5.01,1.67,-2.078205453,-3.003430424,0.5290358,2.935876042,2.894025721,-1.596039102,-4.597932986,1.19056082,3.60287784,2.970681752,-2.066460247,-3.00246589,0.567919945,2.933849849,2.878440711,-4.367962107,-5.164391924,1.074083235,7.601773707,2.654388075,1.696472706,3.834277345,3.360412273,2.526106763,1.971270745,3.846426184,3.345431068,7.88101,51,55,59,7.434038,59,68,77,7.88101,51,55,59,7.732019333,2.48314856,3.28671184,2.48314856,2.751002987,0.363367413,0.391415672,0.370810199,0.375197761,-1.913568267,-3.534609767,0.762505522,3.157534577,2.914382728,2.45439384,1.629782158,-0.28,-1.185,-0.28,-0.581666667,-3.323525653,2.90317555,-3.557587633,2.915547963
7,Li1.00__P0Co-P1Co-P2Co-P3Mn-P4Co-P5Co__P6Co-P7Co-P8Co,Mn,3.59580305,1-2-3-Co-Co-Mn,-124.1153963,3.27886327,0,3.27886327,3.27886327,1,7.553875274,1.846705447,2.827273633,79,160,392.000002,176.000002,158.000002,110.6000014,112.1576369,45.84236308,6.634767334,12.32582055,1.985840223,1.997134317,1.95598778,1.979654106,8.342,8.274,5.839,7.485,5.015,17.44,27.47,11.32886942,7.600399359,3.728470063,56.81428015,3.905929218,2.528217886,1.56,1.56,1.89,5.01,1.67,-2.075468074,-2.986258774,0.561564609,2.940463254,2.893847679,-2.344263688,-2.950744013,0.358911972,2.807813741,2.762653711,-1.781610896,-4.070444769,0.919390493,3.463344263,3.21440515,-4.716823316,-5.393002621,0.953919799,7.995686586,2.623598161,1.819599646,3.876185479,3.367220839,4.356929924,3.612741039,2.858962555,2.206987034,7.88101,51,55,59,7.88101,51,55,59,7.434038,59,68,77,7.732019333,2.48314856,2.48314856,3.28671184,2.751002987,0.366966042,0.371125995,0.378598829,0.372230289,-2.067114219,-3.335815852,0.613289025,3.070540419,2.956968847,2.649709097,2.05718677,-0.28,-0.28,-1.185,-0.581666667,-3.214037417,2.912439838,-3.342034136,2.958926738
8,Li1.00__P0Co-P1Fe-P2Co-P3Co-P4Co-P5Co__P6Co-P7Co-P8Co,Fe,3.9275832,1-2-3-Fe-Co-Co,-122.2493076,3.02449529,0.2157,2.9146,3.1303,1,7.2069786,0.8784497,1.777705461,80,161,394.0000016,178.0000016,160.0000016,112.0000011,116.8718164,43.12818361,1.801307858,10.66195339,1.975826286,1.97259651,1.951154702,1.966525833,7.352,8.311,8.378,8.013666667,5.015,19.026,29.056,12.2280711,7.650785892,4.577285205,61.32377655,4.095534898,2.550971247,1.61,1.56,1.56,4.73,1.576666667,-1.26202324,-2.670459882,1.220695545,3.194172772,3.207823669,-1.673501398,-2.582841386,0.878174566,2.916799133,2.893049454,-1.638766076,-2.585869824,1.044232728,2.987946219,2.935140933,-4.078079482,-4.808947616,1.232152551,7.208379482,2.551638778,1.718186193,3.675535447,2.494850108,3.818966645,3.373223082,3.85660239,3.352742592,7.9024681,58,62,66,7.88101,51,55,59,7.88101,51,55,59,7.8881627,3.778409415,2.48314856,2.48314856,2.914902178,0.340913453,0.353069507,0.365520404,0.353167788,-1.524763572,-2.613057031,1.047700946,3.032972708,3.012004685,2.55331591,2.195890585,-0.447,-0.28,-0.28,-0.335666667,-2.6099314,3.001399243,-2.612078933,3.008854711
9,Li1.00__P0Co-P1Co-P2Fe-P3Co-P4Co-P5Co__P6Co-P7Co-P8Co,Fe,3.96374375,1-2-3-Co-Fe-Co,-122.3648591,3.0066655,0.228,2.8893,3.1173,1,7.17717578,0.869540855,1.751433317,80,161,394.0000035,178.0000035,160.0000035,112.0000025,117.0237959,42.97620408,1.773279187,10.51303838,1.962604124,1.984866575,1.95227403,1.966581577,8.356,7.301,8.371,8.009333333,5.014,19.014,29.042,12.22376157,7.649170285,4.57459129,61.28994054,4.097266426,2.551081855,1.56,1.61,1.56,4.73,1.576666667,-1.648098756,-2.576949728,0.982430193,2.957063745,2.915487474,-1.247771867,-2.627911967,1.166400078,3.141888073,3.175264936,-1.630091457,-2.569530007,1.036512654,2.977097907,2.92725382,-4.089056195,-4.823231737,1.225956962,7.206356195,2.552182934,1.712927537,3.838104379,3.368896019,3.658212945,2.497043837,3.855892883,3.35595402,7.88101,51,55,59,7.9024681,58,62,66,7.88101,51,55,59,7.8881627,2.48314856,3.778409415,2.48314856,2.914902178,0.360383857,0.332613453,0.363877578,0.352291629,-1.508654027,-2.5914639,1.061780975,3.025349909,3.006002077,2.580402169,2.231767836,-0.28,-0.447,-0.28,-0.335666667,-2.589374985,2.996329608,-2.590433685,3.001294213
10,Li1.00__P0Co-P1Co-P2Co-P3Fe-P4Co-P5Co__P6Co-P7Co-P8Co,Fe,3.91703055,1-2-3-Co-Co-Fe,-122.227293,3.02914543,0.2251,2.9102,3.1353,1,7.201356559,0.925617447,1.772990649,80,161,394.0000011,178.0000011,160.0000011,112.0000008,116.9014184,43.09858158,1.905109187,10.6171924,1.964451282,1.976535353,1.960430908,1.967139181,8.354,8.305,7.376,8.011666667,5.013,19.022,29.048,12.21682198,7.645204693,4.571617284,61.24292857,4.088851828,2.547947181,1.56,1.56,1.61,4.73,1.576666667,-1.679698424,-2.60752271,0.947516305,2.954479493,2.913276129,-1.667061451,-2.567757316,0.867492376,2.906030785,2.885703188,-1.265056081,-2.705033673,1.269443633,3.229249019,3.224085209,-4.085849173,-4.819153566,1.23718361,7.221149173,2.558423839,1.720394918,3.841670293,3.365041894,3.8227798,3.372600901,3.697487677,2.471114655,7.88101,51,55,59,7.88101,51,55,59,7.9024681,58,62,66,7.8881627,2.48314856,2.48314856,3.778409415,2.914902178,0.360835874,0.350842152,0.348576233,0.353418087,-1.537271985,-2.626771233,1.028150771,3.029919766,3.007688176,2.548577188,2.192382333,-0.28,-0.28,-0.447,-0.335666667,-2.622616345,2.996148836,-2.626422543,3.006335796
11,Li1.00__P0Co-P1Al-P2Co-P3Co-P4Co-P5Co__P6Co-P7Co-P8Co,Al,4.4349599,1-2-3-Al-Co-Co,-131.5533898,2.92718471,0.9153,2.6952,3.6105,1,6.944954336,1.03E-08,1.011771807,67,148,384.0000022,168.0000022,150.0000022,105.0000015,108.8132604,41.2,0.0000024,7.734267786,1.942194984,1.990056851,1.954326234,1.96219269,0.721,8.312,8.382,5.805,5.046,12.369,22.461,8.836940722,7.715661319,1.121279403,44.59120288,4.051939714,2.560769989,1.83,1.56,1.56,4.95,1.65,-6.61285205,-7.002788527,3.528748155,5.554150495,5.267113534,-1.504062373,-2.415414309,1.053418406,2.913537133,2.883029883,-1.440042118,-2.395255921,1.259350506,2.995578095,2.935410721,-3.919154175,-4.550561345,1.782985145,7.529654175,2.527980814,1.702547606,0,0,3.808931074,3.38500834,3.863917619,3.345856559,5.985769,56.8,57.8,58.8,7.88101,51,55,59,7.88101,51,55,59,7.249263,6.91638435,2.48314856,2.48314856,3.960893823,0.037158242,0.357948655,0.370270905,0.255125934,-3.18565218,-3.937819586,1.947172356,3.821088574,3.695184713,0.733501994,0.612741759,-1.676,-0.28,-0.28,-0.745333333,-2.621066919,3.020052047,-2.628374099,3.024115053
